epoch,train_loss,eval_loss,f1_micro,f1_macro,f1_weighted,subset_accuracy,hamming_loss,stage,accuracy,precision,recall,f1,iteration
1,0.32258251793682574,0.4315040129072526,0.782608695652174,0.7836508817363423,0.7828475821543126,0.5581395348837209,0.21963824289405684,multi_label,,,,,1
2,0.2853729325160384,0.3885379015084575,0.8089330024813896,0.8087956895296345,0.8097661795634794,0.5581395348837209,0.19896640826873385,multi_label,,,,,1
3,0.24265811331570147,0.38460833403994055,0.8461538461538461,0.8464597281395821,0.8472974490187852,0.6124031007751938,0.165374677002584,multi_label,,,,,1
1,0.10985123070771806,0.09489445668398677,,,,,,binary,0.8682170542635659,1.0,0.8411214953271028,0.9137055837563451,1
2,0.09571263966674451,0.08903259202933815,,,,,,binary,0.813953488372093,0.9662921348314607,0.8037383177570093,0.8775510204081632,1
3,0.07634582712707924,0.09610106968252427,,,,,,binary,0.8294573643410853,0.967032967032967,0.822429906542056,0.8888888888888888,1
1,0.20717342878241493,0.39378342010519085,0.8235294117647058,0.8260429835651074,0.8240496851717747,0.5736434108527132,0.18604651162790697,multi_label,,,,,2
2,0.18966455640437457,0.4185685825479381,0.8317307692307693,0.8336916234633914,0.8331160975686169,0.6046511627906976,0.18087855297157623,multi_label,,,,,2
3,0.17094490558188846,0.42870629710309643,0.8215158924205379,0.8235772037461961,0.8220039308040048,0.5891472868217055,0.18863049095607234,multi_label,,,,,2
1,0.08749895317544461,0.07635198131217347,,,,,,binary,0.8914728682170543,0.9894736842105263,0.8785046728971962,0.9306930693069307,2
2,0.06901990265029094,0.08326356635627556,,,,,,binary,0.8449612403100775,0.9887640449438202,0.822429906542056,0.8979591836734694,2
3,0.04987825986356316,0.11479465689005926,,,,,,binary,0.9069767441860465,0.9611650485436893,0.9252336448598131,0.9428571428571428,2
